代码,名称,首次封板时间,最后封板时间,炸板次数,封单额(元),封单额(万元),连板数,涨停价,涨跌幅(%),换手率(%),成交额(亿元),所属行业,封板时段,次日开盘涨幅(%),次日收盘涨幅(%),次日最高涨幅(%)
002912.SZ,中新赛克,09:25:00,14:09:33,5,63104347,6310.43,4,28.45,10.02,23.27,10.64,计算机设,早盘板(<10:30),-9.98,-9.98,-7.49
002232.SZ,启明信息,09:30:00,09:30:00,0,92903827,9290.38,2,16.81,10.01,2.33,1.6,IT服务Ⅱ,早盘板(<10:30),-0.95,-5.12,-0.95
002882.SZ,金龙羽,09:30:06,09:30:06,0,122850493,12285.05,1,23.45,9.99,2.45,1.41,电网设备,早盘板(<10:30),10.02,1.15,10.02
001216.SZ,华瓷股份,09:30:15,09:30:15,0,20752733,2075.27,1,16.43,9.97,1.86,0.75,家居用品,早盘板(<10:30),9.98,9.98,9.98
000993.SZ,闽东电力,09:30:54,14:46:51,28,13642725,1364.27,5,16.8,10.02,29.24,22.11,电力,早盘板(<10:30),2.5,10.0,10.0
688004.SH,博汇科技,09:31:00,09:38:42,2,36193293,3619.33,2,27.38,19.98,15.7,3.42,IT服务Ⅱ,早盘板(<10:30),5.81,20.01,20.01
603186.SH,华正新材,09:31:07,09:41:39,1,292393521,29239.35,1,251.57,10.0,6.35,24.84,元件,早盘板(<10:30),3.35,0.96,4.94
603200.SH,上海洗霸,09:33:27,09:33:27,0,78610816,7861.08,1,39.81,10.0,2.95,2.03,环境治理,早盘板(<10:30),3.39,1.78,5.48
002362.SZ,汉王科技,09:35:45,09:36:00,1,105123305,10512.33,1,17.5,9.99,6.27,2.23,软件开发,早盘板(<10:30),0.63,-3.31,0.63
002585.SZ,双星新材,09:36:21,09:46:09,1,154000025,15400.0,3,12.06,10.04,22.25,23.32,塑料,早盘板(<10:30),0.0,0.91,4.89
605058.SH,澳弘电子,09:37:05,14:41:47,38,5758870,575.89,3,40.3,9.99,13.08,7.45,元件,早盘板(<10:30),0.5,10.0,10.0
601579.SH,会稽山,09:44:04,09:55:04,9,56959000,5695.9,1,25.75,10.0,4.22,5.07,非白酒,早盘板(<10:30),0.62,10.02,10.02
600110.SH,诺德股份,09:47:14,14:04:20,1,52594467,5259.45,1,12.13,9.97,11.19,23.12,电池,早盘板(<10:30),-0.16,0.49,0.91
002846.SZ,英联股份,09:48:36,09:48:36,0,25717051,2571.71,1,11.59,9.96,4.79,1.49,包装印刷,早盘板(<10:30),9.84,10.01,10.01
001223.SZ,欧克科技,09:52:33,09:53:12,1,50660734,5066.07,1,46.11,10.0,5.62,1.75,自动化设,早盘板(<10:30),0.0,-1.02,6.85
603353.SH,和顺石油,09:53:11,14:05:53,1,30736048,3073.6,1,41.44,10.01,6.46,4.47,炼化及贸,早盘板(<10:30),0.84,3.72,7.02
603090.SH,宏盛股份,09:53:28,09:53:28,0,31399989,3140.0,2,40.21,10.01,9.16,3.57,通用设备,早盘板(<10:30),4.45,-1.27,4.45
002491.SZ,通鼎互联,09:57:09,14:42:15,19,92436786,9243.68,1,22.23,10.0,22.7,58.4,通信设备,早盘板(<10:30),0.94,9.99,9.99
601218.SH,吉鑫科技,10:12:04,10:12:46,1,55544622,5554.46,1,5.18,9.98,8.08,3.92,风电设备,早盘板(<10:30),10.04,0.77,10.04
002487.SZ,大金重工,10:17:18,10:31:48,2,148769533,14876.95,1,39.44,10.01,12.81,30.53,风电设备,早盘板(<10:30),4.21,-0.71,6.39
002213.SZ,大为股份,10:19:15,10:19:15,0,77374829,7737.48,1,29.49,10.0,8.45,5.03,半导体,早盘板(<10:30),0.78,0.31,1.56
003026.SZ,中晶科技,10:25:06,13:19:24,1,24225781,2422.58,1,30.58,10.0,14.5,6.25,半导体,早盘板(<10:30),3.89,10.01,10.01
002631.SZ,德尔未来,10:28:51,11:09:24,2,79347015,7934.7,1,10.21,10.02,4.06,3.17,家居用品,早盘板(<10:30),-0.1,9.99,9.99
002531.SZ,天顺风能,10:46:39,10:46:39,0,101730459,10173.05,1,7.81,10.0,9.75,12.77,风电设备,午盘板(10:30-14:00),6.91,0.13,9.99
605162.SH,新中港,10:49:24,14:20:30,5,7783637,778.36,1,11.55,10.0,13.91,6.84,电力,午盘板(10:30-14:00),0.0,-3.98,6.58
603082.SH,北自科技,11:00:07,11:25:55,5,29266832,2926.68,1,48.16,10.0,37.34,6.86,自动化设,午盘板(10:30-14:00),5.9,10.01,10.01
603248.SH,锡华科技,11:04:17,14:44:32,2,19939735,1993.97,1,18.46,10.01,11.17,1.44,风电设备,午盘板(10:30-14:00),8.34,10.02,10.02
603266.SH,天龙股份,11:09:46,13:02:40,2,23592646,2359.26,1,16.73,9.99,4.73,1.54,汽车零部,午盘板(10:30-14:00),4.6,-0.36,4.6
600163.SH,中闽能源,11:12:34,14:32:25,11,10785079,1078.51,1,6.29,9.97,10.24,11.79,电力,午盘板(10:30-14:00),-3.02,-0.16,3.02
605507.SH,国邦医药,13:10:18,13:15:03,1,8121758,812.18,1,17.73,9.99,3.51,4.74,化学制药,午盘板(10:30-14:00),1.02,0.17,3.5
002584.SZ,西陇科学,13:18:12,13:21:27,1,66631152,6663.12,1,8.68,10.01,13.43,5.45,电子化学,午盘板(10:30-14:00),6.11,10.02,10.02
002522.SZ,浙江众成,14:36:54,14:36:54,0,35409753,3540.98,1,5.81,10.04,12.77,6.52,塑料,尾盘板(>=14:00),0.86,2.41,5.85
