信号日,名称,买入方式,买入价,股数,买入金额,卖出日,卖出时点,卖出价,卖出原因,净盈亏,账户现金,持有交易日,当时周期
2026-01-07,展鹏科技,挂涨停价排队·尾盘开缝成交,8.7,3800,33060,2026-01-09,次日早盘9:30,10.52,又涨停→隔夜次早兑现,6861,106886,2,平淡期
2026-01-12,天娱数科,挂涨停价排队·尾盘开缝成交,8.08,4400,35552,2026-01-13,尾盘14:50,7.74,没涨停→尾盘兑现,-1548,105364,1,平淡期
2026-01-13,东南网架,挂涨停价排队·尾盘开缝成交,5.62222497,6200,34858,2026-01-14,尾盘14:50,5.4,没涨停→尾盘兑现,-1413,103977,1,恐慌期
2026-01-19,许继电气,挂涨停价排队·尾盘开缝成交,32.179,1000,32179,2026-01-20,尾盘14:50,32.67,没涨停→尾盘兑现,441,104443,1,主线期
2026-01-28,中金岭南,挂涨停价排队·尾盘开缝成交,8.525,4000,34100,2026-01-29,尾盘14:50,8.49,没涨停→尾盘兑现,-171,104297,1,主线期
2026-01-30,实益达,挂涨停价排队·尾盘开缝成交,10.08257718,3400,34281,2026-02-02,尾盘14:50,9.66,没涨停→尾盘兑现,-1470,79885,1,妖股期
2026-01-30,敦煌种业,挂涨停价排队·尾盘开缝成交,7.92,2900,22968,2026-02-02,尾盘14:50,7.46,没涨停→尾盘兑现,-1367,101502,1,妖股期
2026-02-03,银轮股份,挂涨停价排队·尾盘开缝成交,39.162,800,31330,2026-02-05,次日早盘9:30,43.48,又涨停→隔夜次早兑现,3406,104932,2,平淡期
2026-02-09,红太阳,挂涨停价排队·尾盘开缝成交,6.72,5200,34944,2026-02-10,尾盘14:50,6.41,没涨停→尾盘兑现,-1663,103295,1,平淡期
2026-02-10,儒意电影,挂涨停价排队·尾盘开缝成交,13.87,2400,33288,2026-02-11,尾盘14:50,12.48,没涨停→尾盘兑现,-3383,99937,1,平淡期
2026-02-11,卓郎智能,挂涨停价排队·尾盘开缝成交,2.98,11100,33078,2026-02-13,次日早盘9:30,3.23,又涨停→隔夜次早兑现,2723,102685,2,平淡期
