信号日,代码,名称,板块,买入价,卖出日,卖出价,收益%,持有交易日,卖出方式,当时周期
2019-04-11,000151,中成股份,F51批发业,15.4505925,2019-04-12,14.77,-4.53,1,没涨停→尾盘卖,妖股期
2019-04-11,000868,安凯客车,C36汽车制造业,4.1,2019-04-12,4.1,-0.15,1,没涨停→尾盘卖,妖股期
2019-04-11,600303,曙光股份,C36汽车制造业,5.42992293,2019-04-12,5.13,-5.61,1,没涨停→尾盘卖,妖股期
2019-04-12,002649,博彦科技,I65软件和信息技术服务业,9.41013633,2019-04-15,9.25,-1.85,1,没涨停→尾盘卖,妖股期
2019-04-16,000823,超声电子,C39计算机、通信和其他电子设备制造业,10.24814751,2019-04-17,10.47,1.98,1,没涨停→尾盘卖,妖股期
2019-04-16,002089,新海退,,5.75,2019-04-17,5.81,1.07,1,再涨停→次日早盘卖,妖股期
2019-04-16,002115,三维通信,L72商务服务业,10.620638,2019-04-17,10.92,2.85,1,再涨停→次日早盘卖,妖股期
2019-04-17,000903,ST云动,C34通用设备制造业,3.42052411,2019-04-18,3.28,-4.12,1,没涨停→尾盘卖,妖股期
2019-04-17,002424,ST百灵,C27医药制造业,12.6726518,2019-04-18,12.85,1.22,1,没涨停→尾盘卖,妖股期
2019-04-17,002480,新筑股份,C34通用设备制造业,6.7,2019-04-18,6.45,-3.88,1,没涨停→尾盘卖,妖股期
2019-04-18,002469,三维化学,C26化学原料和化学制品制造业,4.09534657,2019-04-19,4.0,-2.5,1,没涨停→尾盘卖,平淡期
2019-04-18,000836,ST富通,,5.2,2019-04-22,5.95,14.27,2,再涨停→次日早盘卖,平淡期
2019-04-19,000510,新金路,C26化学原料和化学制品制造业,6.39,2019-04-22,6.07,-5.16,1,没涨停→尾盘卖,妖股期
2019-04-19,601028,玉龙股份,,6.35196386,2019-04-22,6.27,-1.4,1,没涨停→尾盘卖,妖股期
2019-04-22,600353,旭光电子,C39计算机、通信和其他电子设备制造业,4.65509499,2019-04-23,4.29,-7.96,1,没涨停→尾盘卖,平淡期
2019-04-22,000702,正虹科技,C13农副食品加工业,7.58,2019-04-24,8.39,10.54,2,再涨停→次日早盘卖,平淡期
2019-04-22,002211,ST宏达,C26化学原料和化学制品制造业,6.85,2019-04-24,7.94,15.76,2,再涨停→次日早盘卖,平淡期
2019-04-23,001896,豫能控股,D44电力、热力生产和供应业,4.77,2019-04-25,5.78,21.02,2,再涨停→次日早盘卖,恐慌期
2019-04-24,000792,盐湖股份,C26化学原料和化学制品制造业,7.51,2019-04-25,7.56,0.52,1,没涨停→尾盘卖,妖股期
2019-04-24,002140,东华科技,E48土木工程建筑业,8.14418968,2019-04-26,8.78,7.7,2,再涨停→次日早盘卖,妖股期
2019-04-25,002688,金河生物,C27医药制造业,5.8216611,2019-04-26,5.44,-6.67,1,没涨停→尾盘卖,恐慌期
2019-04-25,600198,大唐电信,C39计算机、通信和其他电子设备制造业,16.37,2019-04-29,18.7,14.08,2,再涨停→次日早盘卖,恐慌期
