信号日,名称,买入价,买入方式,股数,买入金额,卖出日,卖出时点,卖出价,卖出原因,毛盈亏,费用,净盈亏,账户现金,当时周期
2019-04-11,中成股份,15.4505925,挂涨停价排队·尾盘开缝成交,2100,32446,2019-04-12,尾盘14:50,14.77,没涨停→尾盘兑现,-1421,47.6,-1469,61754,妖股期
2019-04-11,安凯客车,4.1,挂涨停价排队·尾盘开缝成交,5400,22140,2019-04-12,尾盘14:50,4.1,没涨停→尾盘兑现,0,33.2,-33,83878,妖股期
2019-04-11,曙光股份,5.42992293,挂涨停价排队·尾盘开缝成交,2700,14661,2019-04-12,尾盘14:50,5.13,没涨停→尾盘兑现,-801,21.4,-823,97727,妖股期
2019-04-12,博彦科技,9.41013633,挂涨停价排队·尾盘开缝成交,3400,31994,2019-04-15,尾盘14:50,9.25,没涨停→尾盘兑现,-544,47.6,-591,97160,妖股期
2019-04-16,超声电子,10.24814751,挂涨停价排队·尾盘开缝成交,3100,31769,2019-04-17,尾盘14:50,10.47,没涨停→尾盘兑现,675,48.2,627,62729,妖股期
2019-04-16,新海退,5.75,挂涨停价排队·尾盘开缝成交,3700,21275,2019-04-17,次日早盘9:30,5.81,又涨停→隔夜后早盘兑现,222,32.1,190,84210,妖股期
2019-04-16,三维通信,10.620638,挂涨停价排队·尾盘开缝成交,1300,13807,2019-04-17,次日早盘9:30,10.92,又涨停→隔夜后早盘兑现,394,21.0,373,98400,妖股期
2019-04-17,ST云动,3.42052411,挂涨停价排队·尾盘开缝成交,9500,32495,2019-04-18,尾盘14:50,3.28,没涨停→尾盘兑现,-1289,47.8,-1337,60805,妖股期
2019-04-17,ST百灵,12.6726518,挂涨停价排队·尾盘开缝成交,1700,21544,2019-04-18,尾盘14:50,12.85,没涨停→尾盘兑现,296,32.5,263,82628,妖股期
2019-04-17,新筑股份,6.7,挂涨停价排队·尾盘开缝成交,2200,14740,2019-04-18,尾盘14:50,6.45,没涨停→尾盘兑现,-550,21.7,-572,96807,妖股期
2019-04-18,三维化学,4.09534657,挂涨停价排队·尾盘开缝成交,5200,21296,2019-04-19,尾盘14:50,4.0,没涨停→尾盘兑现,-501,31.6,-532,64051,平淡期
2019-04-18,ST富通,5.2,挂涨停价排队·尾盘开缝成交,6200,32240,2019-04-22,次日早盘9:30,5.95,又涨停→隔夜后早盘兑现,4650,51.8,4598,65852,平淡期
2019-04-19,新金路,6.39,挂涨停价排队·尾盘开缝成交,3300,21087,2019-04-22,尾盘14:50,6.07,没涨停→尾盘兑现,-1056,30.8,-1087,85868,妖股期
2019-04-19,玉龙股份,6.35196386,挂涨停价排队·尾盘开缝成交,2200,13974,2019-04-22,尾盘14:50,6.27,没涨停→尾盘兑现,-174,20.8,-195,99658,妖股期
2019-04-22,旭光电子,4.65509499,挂涨停价排队·尾盘开缝成交,3200,14896,2019-04-23,尾盘14:50,4.29,没涨停→尾盘兑现,-1163,21.5,-1184,43971,平淡期
2019-04-22,正虹科技,7.58,挂涨停价排队·尾盘开缝成交,4300,32594,2019-04-24,次日早盘9:30,8.39,又涨停→隔夜后早盘兑现,3483,51.5,3431,65711,平淡期
2019-04-22,ST宏达,6.85,挂涨停价排队·尾盘开缝成交,3200,21920,2019-04-24,次日早盘9:30,7.94,又涨停→隔夜后早盘兑现,3488,35.5,3453,91099,平淡期
2019-04-23,豫能控股,4.77,挂涨停价排队·尾盘开缝成交,3000,14310,2019-04-25,次日早盘9:30,5.78,又涨停→隔夜后早盘兑现,3030,23.7,3006,58840,恐慌期
2019-04-24,盐湖股份,7.51,挂涨停价排队·尾盘开缝成交,4000,30040,2019-04-25,尾盘14:50,7.56,没涨停→尾盘兑现,200,45.2,155,89058,妖股期
2019-04-24,东华科技,8.14418968,挂涨停价排队·尾盘开缝成交,2400,19546,2019-04-26,次日早盘9:30,8.78,又涨停→隔夜后早盘兑现,1534,30.5,1503,61369,妖股期
2019-04-25,金河生物,5.8216611,挂涨停价排队·尾盘开缝成交,5000,29108,2019-04-26,尾盘14:50,5.44,没涨停→尾盘兑现,-1898,42.2,-1941,88559,恐慌期
2019-04-25,大唐电信,16.37,挂涨停价排队·尾盘开缝成交,1200,19644,2019-04-29,次日早盘9:30,18.7,又涨停→隔夜后早盘兑现,2796,31.6,2764,110982,恐慌期
2019-04-30,红棉股份,5.96859711,挂涨停价排队·尾盘开缝成交,6100,36408,2019-05-06,尾盘14:50,5.85,没涨停→尾盘兑现,-727,54.1,-781,69380,妖股期
2019-04-30,建投能源,6.77913852,挂涨停价排队·尾盘开缝成交,3600,24405,2019-05-06,尾盘14:50,6.48,没涨停→尾盘兑现,-1068,35.8,-1104,92700,妖股期
2019-04-30,新能泰山,5.67,挂涨停价排队·尾盘开缝成交,2900,16443,2019-05-06,尾盘14:50,5.52,没涨停→尾盘兑现,-435,24.3,-459,108696,妖股期
2019-05-07,华讯退,7.64,挂涨停价排队·尾盘开缝成交,4700,35908,2019-05-08,尾盘14:50,7.39,没涨停→尾盘兑现,-1175,53.0,-1228,67527,妖股期
2019-05-07,*ST英飞,4.41,挂涨停价排队·尾盘开缝成交,5500,24255,2019-05-08,尾盘14:50,4.26,没涨停→尾盘兑现,-825,35.8,-861,90939,妖股期
2019-05-07,龙佰集团,11.22360624,挂涨停价排队·尾盘开缝成交,1400,15713,2019-05-08,尾盘14:50,10.93,没涨停→尾盘兑现,-407,23.3,-430,106234,妖股期
2019-05-08,中粮科技,7.6150188,挂涨停价排队·尾盘开缝成交,4600,35029,2019-05-09,尾盘14:50,7.4,没涨停→尾盘兑现,-982,51.8,-1034,105226,恐慌期
2019-05-10,新叶股份,5.6127024,挂涨停价排队·尾盘开缝成交,6200,34799,2019-05-13,尾盘14:50,5.44,没涨停→尾盘兑现,-1049,51.4,-1100,65444,妖股期
2019-05-10,跃岭股份,9.25725104,挂涨停价排队·尾盘开缝成交,2500,23143,2019-05-13,尾盘14:50,9.64,没涨停→尾盘兑现,956,35.4,921,89525,妖股期
2019-05-10,生益科技,11.11804646,挂涨停价排队·尾盘开缝成交,1400,15565,2019-05-13,尾盘14:50,10.88,没涨停→尾盘兑现,-327,23.1,-350,104752,妖股期
2019-05-15,广日股份,5.42785418,挂涨停价排队·尾盘开缝成交,6400,34738,2019-05-16,尾盘14:50,5.68,没涨停→尾盘兑现,1599,53.3,1546,67848,妖股期
2019-05-15,嘉泽新能,4.2488874,挂涨停价排队·尾盘开缝成交,5400,22944,2019-05-16,尾盘14:50,4.27,没涨停→尾盘兑现,140,34.5,105,90914,妖股期
2019-05-15,京运通,3.53008655,挂涨停价排队·尾盘开缝成交,4400,15532,2019-05-17,次日早盘9:30,4.25,又涨停→隔夜后早盘兑现,3149,25.7,3123,59116,妖股期
2019-05-16,中国稀土,13.1585619,挂涨停价排队·尾盘开缝成交,2300,30265,2019-05-17,尾盘14:50,13.23,没涨停→尾盘兑现,159,45.5,114,89518,妖股期
2019-05-16,五矿发展,8.41681532,挂涨停价排队·尾盘开缝成交,2400,20200,2019-05-17,尾盘14:50,8.08,没涨停→尾盘兑现,-814,29.7,-843,108890,妖股期
2019-05-17,兴森科技,5.07978462,挂涨停价排队·尾盘开缝成交,7100,36066,2019-05-21,次日早盘9:30,5.94,又涨停→隔夜后早盘兑现,6091,58.7,6032,90851,恐慌期
2019-05-20,华微电子,6.17887992,挂涨停价排队·尾盘开缝成交,3900,24098,2019-05-21,尾盘14:50,6.08,没涨停→尾盘兑现,-379,35.9,-415,114552,恐慌期
2019-05-21,藏格矿业,6.37994669,挂涨停价排队·尾盘开缝成交,5900,37642,2019-05-22,尾盘14:50,6.19,没涨停→尾盘兑现,-1092,55.6,-1147,88005,平淡期
2019-05-21,欧菲光,8.47605942,挂涨停价排队·尾盘开缝成交,3000,25428,2019-05-22,尾盘14:50,8.24,没涨停→尾盘兑现,-719,37.6,-756,112696,平淡期
2019-05-22,ST联络,4.4,挂涨停价排队·尾盘开缝成交,8500,37400,2019-05-23,次日早盘9:30,4.39,又涨停→隔夜后早盘兑现,-85,56.0,-141,87617,恐慌期
2019-05-22,波导股份,4.38,挂涨停价排队·尾盘开缝成交,5700,24966,2019-05-23,尾盘14:50,4.3,没涨停→尾盘兑现,-456,37.1,-493,112109,恐慌期
2019-05-24,*ST嘉凯,6.17,挂涨停价排队·尾盘开缝成交,6000,37020,2019-05-27,尾盘14:50,6.5,没涨停→尾盘兑现,1980,57.0,1923,89419,平淡期
2019-05-24,中京电子,8.2133045,挂涨停价排队·尾盘开缝成交,3000,24640,2019-05-27,尾盘14:50,8.38,没涨停→尾盘兑现,505,37.3,467,114545,平淡期
2019-05-27,振华科技,16.24129518,挂涨停价排队·尾盘开缝成交,2300,37355,2019-05-28,尾盘14:50,16.24,没涨停→尾盘兑现,0,56.0,-56,114517,平淡期
2019-05-28,天汽模,4.32287604,挂涨停价排队·尾盘开缝成交,8800,38041,2019-05-29,尾盘14:50,4.22,没涨停→尾盘兑现,-863,56.4,-919,88782,平淡期
2019-05-28,博敏电子,9.20156523,挂涨停价排队·尾盘开缝成交,2700,24844,2019-05-29,尾盘14:50,9.46,没涨停→尾盘兑现,689,37.8,651,114297,平淡期
2019-05-31,东方新能,5.47577231,挂涨停价排队·尾盘开缝成交,6900,37783,2019-06-03,尾盘14:50,5.84,没涨停→尾盘兑现,2510,58.6,2451,116776,妖股期
2019-06-05,冠农股份,5.80927436,挂涨停价排队·尾盘开缝成交,6700,38922,2019-06-06,尾盘14:50,5.63,没涨停→尾盘兑现,-1194,57.5,-1251,89710,平淡期
2019-06-05,苏垦农发,6.80108275,挂涨停价排队·尾盘开缝成交,3800,25844,2019-06-06,尾盘14:50,6.78,没涨停→尾盘兑现,-64,38.7,-103,115470,平淡期
2019-06-10,可立克,12.6319656,挂涨停价排队·尾盘开缝成交,3000,37896,2019-06-11,尾盘14:50,13.1,没涨停→尾盘兑现,1414,57.9,1356,74571,平淡期
2019-06-10,联创光电,10.47276048,挂涨停价排队·尾盘开缝成交,2400,25135,2019-06-11,尾盘14:50,10.81,没涨停→尾盘兑现,803,38.3,765,100490,平淡期
2019-06-10,彩虹股份,5.04376782,挂涨停价排队·尾盘开缝成交,3400,17149,2019-06-11,尾盘14:50,5.29,没涨停→尾盘兑现,846,26.4,819,118471,平淡期
2019-06-11,冠捷科技,2.12,挂涨停价排队·尾盘开缝成交,18600,39432,2019-06-12,尾盘14:50,2.19,没涨停→尾盘兑现,1302,60.1,1242,76826,妖股期
2019-06-11,华林证券,14.71462656,挂涨停价排队·尾盘开缝成交,1700,25015,2019-06-12,尾盘14:50,15.37,没涨停→尾盘兑现,1110,38.4,1072,102932,妖股期
2019-06-11,天通股份,8.5242794,挂涨停价排队·尾盘开缝成交,2100,17901,2019-06-12,尾盘14:50,8.28,没涨停→尾盘兑现,-506,26.5,-533,120313,妖股期
2019-06-12,*ST金洲,2.29,挂涨停价排队·尾盘开缝成交,17500,40075,2019-06-14,次日早盘9:30,2.67,又涨停→隔夜后早盘兑现,6650,65.1,6585,82634,平淡期
2019-06-13,退市银鸽,2.54,挂涨停价排队·尾盘开缝成交,7000,17780,2019-06-14,尾盘14:50,2.33,没涨停→尾盘兑现,-1470,25.6,-1496,98932,妖股期
2019-06-13,泸天化,4.91,挂涨停价排队·尾盘开缝成交,5400,26514,2019-06-17,次日早盘9:30,5.67,又涨停→隔夜后早盘兑现,4104,42.8,4061,129527,妖股期
2019-06-19,联创电子,6.55599026,挂涨停价排队·尾盘开缝成交,6500,42614,2019-06-20,尾盘14:50,6.76,没涨停→尾盘兑现,1301,64.9,1236,102070,妖股期
2019-06-19,上海环境,8.97649209,挂涨停价排队·尾盘开缝成交,3200,28725,2019-06-21,次日早盘9:30,10.86,又涨停→隔夜后早盘兑现,6037,47.6,5989,80615,妖股期
2019-06-20,陕国投A,4.0457508,挂涨停价排队·尾盘开缝成交,8400,33984,2019-06-21,尾盘14:50,4.24,没涨停→尾盘兑现,1650,52.2,1598,116223,妖股期
2019-06-20,天奇股份,9.25241772,挂涨停价排队·尾盘开缝成交,2400,22206,2019-06-21,尾盘14:50,9.54,没涨停→尾盘兑现,686,33.8,652,139098,妖股期
2019-06-24,ST星农,16.58,挂涨停价排队·尾盘开缝成交,2700,44766,2019-06-25,尾盘14:50,16.85,没涨停→尾盘兑现,729,67.7,661,139793,平淡期
2019-06-26,康尼机电,4.6105072,挂涨停价排队·尾盘开缝成交,10100,46566,2019-06-27,尾盘14:50,4.5,没涨停→尾盘兑现,-1075,69.0,-1144,138684,平淡期
2019-06-27,日海智能,19.76,挂涨停价排队·尾盘开缝成交,2300,45448,2019-06-28,尾盘14:50,20.2,没涨停→尾盘兑现,1012,68.9,943,90471,平淡期
2019-06-27,深南电路,51.50845725,挂涨停价排队·尾盘开缝成交,600,30905,2019-06-28,次日早盘9:30,52.29,又涨停→隔夜后早盘兑现,468,46.7,421,121820,平淡期
2019-06-27,景旺电子,26.12142716,挂涨停价排队·尾盘开缝成交,700,18285,2019-06-28,尾盘14:50,25.75,没涨停→尾盘兑现,-257,27.2,-284,139835,平淡期
2019-07-01,润邦股份,3.9875238,挂涨停价排队·尾盘开缝成交,11600,46255,2019-07-02,尾盘14:50,3.84,没涨停→尾盘兑现,-1709,68.1,-1778,88702,主线期
2019-07-01,云赛智联,8.09068528,挂涨停价排队·尾盘开缝成交,3800,30745,2019-07-02,尾盘14:50,8.34,没涨停→尾盘兑现,947,46.8,900,120370,主线期
2019-07-01,中科曙光,26.63692317,挂涨停价排队·尾盘开缝成交,700,18646,2019-07-02,尾盘14:50,25.56,没涨停→尾盘兑现,-753,27.4,-781,138249,主线期
2019-07-04,日出东方,4.10369691,挂涨停价排队·尾盘开缝成交,11200,45961,2019-07-05,尾盘14:50,4.06,没涨停→尾盘兑现,-514,68.6,-583,137700,平淡期
2019-07-05,金达威,12.01561146,挂涨停价排队·尾盘开缝成交,3800,45659,2019-07-08,尾盘14:50,12.49,没涨停→尾盘兑现,1818,69.9,1749,139483,平淡期
2019-07-08,保利联合,8.4040044,挂涨停价排队·尾盘开缝成交,5500,46222,2019-07-09,尾盘14:50,8.66,没涨停→尾盘兑现,1386,70.4,1316,140834,恐慌期
2019-07-09,新疆众和,4.035798,挂涨停价排队·尾盘开缝成交,11600,46815,2019-07-10,尾盘14:50,3.97,没涨停→尾盘兑现,-720,69.7,-790,140079,平淡期
2019-07-11,黄河旋风,3.51,挂涨停价排队·尾盘开缝成交,13300,46683,2019-07-12,尾盘14:50,3.46,没涨停→尾盘兑现,-665,69.5,-735,88534,平淡期
2019-07-11,三峡新材,4.39,挂涨停价排队·尾盘开缝成交,7000,30730,2019-07-12,尾盘14:50,4.3,没涨停→尾盘兑现,-630,45.6,-676,118611,平淡期
2019-07-11,索通发展,10.05767926,挂涨停价排队·尾盘开缝成交,2000,20115,2019-07-12,次日早盘9:30,10.05,又涨停→隔夜后早盘兑现,-18,30.2,-48,138694,平淡期
2019-07-12,ST兴化,3.85508958,挂涨停价排队·尾盘开缝成交,11900,45876,2019-07-15,尾盘14:50,3.83,没涨停→尾盘兑现,-335,68.6,-403,138325,平淡期
2019-07-15,华软科技,6.23,挂涨停价排队·尾盘开缝成交,7400,46102,2019-07-16,尾盘14:50,6.27,没涨停→尾盘兑现,296,69.4,227,138586,平淡期
2019-07-16,华神科技,4.85611275,挂涨停价排队·尾盘开缝成交,9500,46133,2019-07-17,尾盘14:50,4.55,没涨停→尾盘兑现,-2913,67.0,-2980,105272,恐慌期
2019-07-16,天原股份,4.97849607,挂涨停价排队·尾盘开缝成交,6100,30369,2019-07-17,尾盘14:50,4.83,没涨停→尾盘兑现,-879,44.9,-924,134740,恐慌期
2019-07-17,黑猫股份,5.51183204,挂涨停价排队·尾盘开缝成交,8100,44646,2019-07-18,尾盘14:50,5.25,没涨停→尾盘兑现,-2107,65.4,-2173,102814,平淡期
2019-07-17,胜利精密,2.81,挂涨停价排队·尾盘开缝成交,10600,29786,2019-07-18,尾盘14:50,2.86,没涨停→尾盘兑现,530,45.1,485,133108,平淡期
2019-07-19,汉王科技,16.58,挂涨停价排队·尾盘开缝成交,2600,43108,2019-07-22,尾盘14:50,16.01,没涨停→尾盘兑现,-1482,63.6,-1546,131594,平淡期
2019-07-22,金牛化工,6.49,挂涨停价排队·尾盘开缝成交,6700,43483,2019-07-23,尾盘14:50,6.61,没涨停→尾盘兑现,804,65.8,738,103168,恐慌期
2019-07-22,雪峰科技,3.69581045,挂涨停价排队·尾盘开缝成交,7900,29197,2019-07-24,次日早盘9:30,4.08,又涨停→隔夜后早盘兑现,2996,46.0,2950,135337,恐慌期
2019-07-24,东山精密,15.16008953,挂涨停价排队·尾盘开缝成交,2900,43964,2019-07-25,尾盘14:50,15.38,没涨停→尾盘兑现,640,66.4,574,135944,平淡期
2019-07-30,退市绿庭,6.28,挂涨停价排队·尾盘开缝成交,7200,45216,2019-07-31,尾盘14:50,5.99,没涨停→尾盘兑现,-2088,66.3,-2154,133824,平淡期
2019-08-07,盛达资源,12.94373051,挂涨停价排队·尾盘开缝成交,3400,44009,2019-08-08,尾盘14:50,13.39,没涨停→尾盘兑现,1526,67.2,1458,85933,平淡期
2019-08-07,永鼎股份,3.89558502,挂涨停价排队·尾盘开缝成交,7600,29606,2019-08-08,尾盘14:50,4.05,没涨停→尾盘兑现,1178,45.3,1133,116695,平淡期
2019-08-07,盛屯矿业,5.0706783,挂涨停价排队·尾盘开缝成交,3900,19776,2019-08-08,尾盘14:50,5.03,没涨停→尾盘兑现,-149,29.6,-179,136307,平淡期
2019-08-09,崇达技术,15.38612468,挂涨停价排队·尾盘开缝成交,2900,44620,2019-08-12,尾盘14:50,16.21,没涨停→尾盘兑现,2389,68.7,2320,108328,平淡期
2019-08-09,世运电路,9.19144829,挂涨停价排队·尾盘开缝成交,3300,30332,2019-08-13,次日早盘9:30,11.12,又涨停→隔夜后早盘兑现,6371,50.3,6321,86201,平淡期
2019-08-12,歌尔股份,11.0362112,挂涨停价排队·尾盘开缝成交,3200,35316,2019-08-13,尾盘14:50,11.19,没涨停→尾盘兑现,486,53.3,433,121976,平淡期
2019-08-12,易尚退,19.5724611,挂涨停价排队·尾盘开缝成交,1200,23487,2019-08-14,次日早盘9:30,23.41,又涨停→隔夜后早盘兑现,4602,38.7,4563,109788,平淡期
2019-08-13,退市辅仁,6.29,挂涨停价排队·尾盘开缝成交,6400,40256,2019-08-14,尾盘14:50,6.18,没涨停→尾盘兑现,-704,59.9,-764,149310,恐慌期
2019-08-15,众生药业,9.76520148,挂涨停价排队·尾盘开缝成交,3400,33202,2019-08-16,尾盘14:50,9.81,没涨停→尾盘兑现,153,49.9,104,79228,平淡期
2019-08-15,西藏药业,16.81726914,挂涨停价排队·尾盘开缝成交,1300,21862,2019-08-16,尾盘14:50,17.1,没涨停→尾盘兑现,371,33.1,337,101444,平淡期
2019-08-15,武汉凡谷,14.22006684,挂涨停价排队·尾盘开缝成交,3400,48348,2019-08-19,次日早盘9:30,16.98,又涨停→隔夜后早盘兑现,9389,79.6,9310,125992,平淡期
