代码,名称,买入日,卖出日,收益%,卖出原因
600507,方大特钢,2019-01-04,2019-04-08,55.8,息率跌破3.5%
002749,国光股份,2019-01-08,2019-05-07,8.62,息率跌破3.5%
600516,方大炭素,2019-01-10,2019-05-28,3.4,息率跌破3.5%
600681,百川能源,2019-05-07,2020-04-28,-33.28,息率跌破3.5%
600507,方大特钢,2019-05-28,2020-05-11,-18.94,息率跌破3.5%
603156,养元饮品,2020-05-11,2020-05-12,-0.22,息率跌破3.5%
002110,三钢闽光,2019-01-09,2020-05-25,-8.42,息率跌破3.5%
002884,凌霄泵业,2020-05-12,2020-05-26,3.53,息率跌破3.5%
603809,豪能股份,2019-01-07,2020-05-28,9.72,息率跌破3.5%
600738,丽尚国潮,2019-04-08,2020-12-10,-1.61,息率跌破3.5%
600603,广汇物流,2020-05-26,2021-04-23,4.14,息率跌破3.5%
600295,鄂尔多斯,2020-05-28,2021-05-27,169.09,息率跌破3.5%
000830,鲁西化工,2020-05-25,2021-06-08,159.06,息率跌破3.5%
600188,兖矿能源,2020-04-28,2021-07-08,83.64,息率跌破3.5%
002775,文科股份,2021-05-27,2022-05-18,-2.45,息率跌破3.5%
000863,三湘印象,2021-06-08,2022-06-02,-8.55,息率跌破3.5%
600729,重百集团,2021-07-08,2023-05-16,29.85,息率跌破3.5%
600694,大商股份,2022-06-02,2023-06-01,8.97,息率跌破3.5%
603871,嘉友国际,2020-12-10,2023-06-12,84.37,息率跌破3.5%
600295,鄂尔多斯,2023-06-12,2023-06-14,-2.32,息率跌破3.5%
600507,方大特钢,2023-06-14,2023-06-16,-0.15,息率跌破3.5%
603565,中谷物流,2022-05-18,2023-08-31,-4.67,息率跌破3.5%
600546,山煤国际,2023-06-01,2024-05-07,8.8,息率跌破3.5%
601699,潞安环能,2023-06-16,2024-06-12,28.94,息率跌破3.5%
002030,达安基因,2024-05-07,2024-06-14,-18.74,息率跌破3.5%
603688,石英股份,2024-06-12,2025-05-23,-13.16,息率跌破3.5%
600153,建发股份,2024-06-14,2026-01-23,8.2,息率跌破3.5%
600188,兖矿能源,2023-08-31,2026-03-13,93.76,息率跌破3.5%
600681,百川能源,2021-04-23,2026-05-28,1.53,息率跌破3.5%
603508,思维列控,2026-01-23,2026-09-10,-19.3,息率跌破3.5%
