代码,名称,买入日,卖出日,收益%,卖出原因
600507,方大特钢,2019-01-04,2019-04-08,55.8,息率跌破3.5%
600664,哈药股份,2019-01-09,2019-05-07,15.43,息率跌破3.5%
000635,英力特,2019-01-07,2019-10-17,-7.18,息率跌破3.5%
600681,百川能源,2019-05-07,2020-04-28,-33.28,息率跌破3.5%
600507,方大特钢,2019-10-17,2020-05-11,-7.03,息率跌破3.5%
002110,三钢闽光,2019-01-10,2020-05-25,-11.35,息率跌破3.5%
002367,康力电梯,2019-01-08,2020-08-31,148.49,息率跌破3.5%
600738,丽尚国潮,2019-04-08,2020-12-10,-1.61,息率跌破3.5%
600603,广汇物流,2020-05-11,2021-04-23,-4.29,息率跌破3.5%
002238,天威视讯,2020-08-31,2021-06-25,-13.43,息率跌破3.5%
600188,兖矿能源,2020-04-28,2021-07-08,83.64,息率跌破3.5%
603328,依顿电子,2020-05-25,2021-07-08,-21.05,息率跌破3.5%
600681,百川能源,2021-04-23,2022-04-20,7.89,息率跌破3.5%
002775,文科股份,2021-07-08,2022-05-18,-2.68,息率跌破3.5%
000863,三湘印象,2021-06-25,2022-06-02,-3.93,息率跌破3.5%
600507,方大特钢,2021-07-09,2022-06-07,24.25,息率跌破3.5%
000656,金科股份,2022-06-02,2022-07-12,-12.36,息率跌破3.5%
601086,国芳集团,2022-04-20,2022-10-17,3.39,息率跌破3.5%
600729,重百集团,2022-05-18,2023-05-16,42.4,息率跌破3.5%
600327,大东方,2020-12-10,2023-05-29,30.56,息率跌破3.5%
600694,大商股份,2022-06-07,2023-06-01,8.6,息率跌破3.5%
600382,广东明珠,2022-10-17,2023-06-16,15.88,息率跌破3.5%
600507,方大特钢,2023-06-01,2023-06-16,1.6,息率跌破3.5%
000761,本钢板材,2022-07-12,2023-06-19,18.69,息率跌破3.5%
000830,鲁西化工,2023-06-19,2023-07-18,5.15,息率跌破3.5%
600546,山煤国际,2023-05-16,2024-05-07,-0.84,息率跌破3.5%
601699,潞安环能,2023-06-16,2024-06-12,28.94,息率跌破3.5%
002030,达安基因,2023-07-18,2024-06-14,-40.13,息率跌破3.5%
600123,兰花科创,2023-06-20,2025-02-11,-0.45,息率跌破3.5%
603948,建业股份,2024-05-07,2025-04-17,-15.18,息率跌破3.5%
603688,石英股份,2024-06-12,2025-05-23,-13.16,息率跌破3.5%
601919,中远海控,2023-05-29,2025-06-23,89.84,息率跌破3.5%
002303,美盈森,2025-02-11,2025-11-24,24.86,息率跌破3.5%
600153,建发股份,2024-06-14,2026-01-21,6.58,息率跌破3.5%
600971,恒源煤电,2025-05-23,2026-03-05,13.46,息率跌破3.5%
600188,兖矿能源,2025-06-23,2026-03-13,84.53,息率跌破3.5%
002271,东方雨虹,2025-04-17,2026-08-28,6.92,息率跌破3.5%
603508,思维列控,2025-11-24,2026-09-10,-17.96,息率跌破3.5%
