代码,名称,层,买入日,卖出日,收益%,卖出原因
600507,方大特钢,核心,2019-01-04,2019-01-07,2.72,连续500交易日无分红
603809,豪能股份,核心,2019-01-07,2019-01-08,-0.37,连续500交易日无分红
600507,方大特钢,核心,2019-01-08,2019-01-09,-1.33,连续500交易日无分红
603809,豪能股份,核心,2019-01-09,2019-01-10,-1.41,连续500交易日无分红
600507,方大特钢,核心,2019-01-10,2019-01-11,-0.67,连续500交易日无分红
603809,豪能股份,核心,2019-01-11,2019-01-14,0.16,连续500交易日无分红
600507,方大特钢,核心,2019-01-14,2019-01-15,1.17,连续500交易日无分红
603809,豪能股份,核心,2019-01-15,2019-01-16,0.69,连续500交易日无分红
600507,方大特钢,核心,2019-01-16,2019-01-17,-0.94,连续500交易日无分红
603809,豪能股份,核心,2019-01-17,2019-01-18,-0.56,连续500交易日无分红
002749,国光股份,核心,2019-01-18,2019-01-21,1.58,连续500交易日无分红
603809,豪能股份,核心,2019-01-21,2019-01-22,1.34,连续500交易日无分红
002749,国光股份,核心,2019-01-22,2019-01-23,-0.3,连续500交易日无分红
603809,豪能股份,核心,2019-01-23,2019-01-24,0.15,连续500交易日无分红
600507,方大特钢,核心,2019-01-24,2019-01-25,-1.48,连续500交易日无分红
603809,豪能股份,核心,2019-01-25,2019-01-28,-1.52,连续500交易日无分红
600507,方大特钢,核心,2019-01-28,2019-01-29,-0.94,连续500交易日无分红
603809,豪能股份,核心,2019-01-29,2019-01-30,-2.07,连续500交易日无分红
002749,国光股份,核心,2019-01-30,2019-01-31,-1.93,连续500交易日无分红
603809,豪能股份,核心,2019-01-31,2019-02-01,-2.2,连续500交易日无分红
002749,国光股份,核心,2019-02-01,2019-02-11,2.69,连续500交易日无分红
603809,豪能股份,核心,2019-02-11,2019-02-12,1.9,连续500交易日无分红
002749,国光股份,核心,2019-02-12,2019-02-13,0.96,连续500交易日无分红
603809,豪能股份,核心,2019-02-13,2019-02-14,1.17,连续500交易日无分红
002749,国光股份,核心,2019-02-14,2019-02-15,-0.25,连续500交易日无分红
603809,豪能股份,核心,2019-02-15,2019-02-18,-0.3,连续500交易日无分红
002749,国光股份,核心,2019-02-18,2019-02-19,1.48,连续500交易日无分红
603809,豪能股份,核心,2019-02-19,2019-02-20,-0.69,连续500交易日无分红
002749,国光股份,核心,2019-02-20,2019-02-21,-0.51,连续500交易日无分红
603809,豪能股份,核心,2019-02-21,2019-02-22,-1.45,连续500交易日无分红
002749,国光股份,核心,2019-02-22,2019-02-25,0.38,连续500交易日无分红
603809,豪能股份,核心,2019-02-25,2019-02-26,2.15,连续500交易日无分红
000981,山子高科,核心,2019-02-26,2019-02-27,5.29,连续500交易日无分红
603809,豪能股份,核心,2019-02-27,2019-02-28,0.87,连续500交易日无分红
002749,国光股份,核心,2019-02-28,2019-03-01,-0.8,连续500交易日无分红
603809,豪能股份,核心,2019-03-01,2019-03-04,-0.36,连续500交易日无分红
000981,山子高科,核心,2019-03-04,2019-03-05,3.38,连续500交易日无分红
603809,豪能股份,核心,2019-03-05,2019-03-06,0.77,连续500交易日无分红
000981,山子高科,核心,2019-03-06,2019-03-07,2.01,连续500交易日无分红
603809,豪能股份,核心,2019-03-07,2019-03-08,-0.3,连续500交易日无分红
000981,山子高科,核心,2019-03-08,2019-03-11,-8.3,连续500交易日无分红
603809,豪能股份,核心,2019-03-11,2019-03-12,2.75,连续500交易日无分红
000981,山子高科,核心,2019-03-12,2019-03-13,8.25,连续500交易日无分红
603809,豪能股份,核心,2019-03-13,2019-03-14,-2.56,连续500交易日无分红
603809,豪能股份,核心,2019-03-15,2019-03-18,0.73,连续500交易日无分红
002749,国光股份,核心,2019-03-18,2019-03-19,1.7,连续500交易日无分红
603809,豪能股份,核心,2019-03-19,2019-03-20,-0.3,连续500交易日无分红
002749,国光股份,核心,2019-03-20,2019-03-21,-0.61,连续500交易日无分红
603809,豪能股份,核心,2019-03-21,2019-03-22,0.35,连续500交易日无分红
002749,国光股份,核心,2019-03-22,2019-03-25,-0.3,连续500交易日无分红
603809,豪能股份,核心,2019-03-25,2019-03-26,3.15,连续500交易日无分红
600507,方大特钢,核心,2019-03-26,2019-03-27,-1.83,连续500交易日无分红
603809,豪能股份,核心,2019-03-27,2019-03-28,-0.53,连续500交易日无分红
002749,国光股份,核心,2019-03-28,2019-03-29,0.27,连续500交易日无分红
603809,豪能股份,核心,2019-03-29,2019-04-01,2.38,连续500交易日无分红
000981,山子高科,核心,2019-04-01,2019-04-02,2.28,连续500交易日无分红
603809,豪能股份,核心,2019-04-02,2019-04-03,1.37,连续500交易日无分红
600507,方大特钢,核心,2019-04-03,2019-04-04,-0.03,连续500交易日无分红
603809,豪能股份,核心,2019-04-04,2019-04-08,2.68,连续500交易日无分红
002749,国光股份,核心,2019-04-08,2019-04-09,-2.53,连续500交易日无分红
603809,豪能股份,核心,2019-04-09,2019-04-10,-0.56,连续500交易日无分红
002749,国光股份,核心,2019-04-10,2019-04-11,2.82,连续500交易日无分红
603809,豪能股份,核心,2019-04-11,2019-04-12,-2.65,连续500交易日无分红
002749,国光股份,核心,2019-04-12,2019-04-15,-2.97,连续500交易日无分红
603809,豪能股份,核心,2019-04-15,2019-04-16,-2.69,连续500交易日无分红
002749,国光股份,核心,2019-04-16,2019-04-17,0.59,连续500交易日无分红
603809,豪能股份,核心,2019-04-17,2019-04-18,2.57,连续500交易日无分红
002749,国光股份,核心,2019-04-18,2019-04-19,-2.21,连续500交易日无分红
603809,豪能股份,核心,2019-04-19,2019-04-22,4.16,连续500交易日无分红
002749,国光股份,核心,2019-04-22,2019-04-23,-2.15,连续500交易日无分红
603809,豪能股份,核心,2019-04-23,2019-04-24,-1.05,连续500交易日无分红
002749,国光股份,核心,2019-04-24,2019-04-25,-1.14,连续500交易日无分红
603809,豪能股份,核心,2019-04-25,2019-04-26,-4.28,连续500交易日无分红
002749,国光股份,核心,2019-04-26,2019-04-29,0.54,连续500交易日无分红
603809,豪能股份,核心,2019-04-29,2019-04-30,-2.43,连续500交易日无分红
002749,国光股份,核心,2019-04-30,2019-05-06,-1.09,连续500交易日无分红
603809,豪能股份,核心,2019-05-06,2019-05-07,-3.69,连续500交易日无分红
600516,方大炭素,核心,2019-05-07,2019-05-08,0.31,连续500交易日无分红
603809,豪能股份,核心,2019-05-08,2019-05-09,1.04,连续500交易日无分红
603809,豪能股份,核心,2019-05-10,2019-05-13,0.26,连续500交易日无分红
600516,方大炭素,卫星,2019-05-13,2019-05-14,-2.86,连续500交易日无分红
603809,豪能股份,核心,2019-05-14,2019-05-15,2.17,连续500交易日无分红
600516,方大炭素,卫星,2019-05-15,2019-05-16,-0.52,连续500交易日无分红
603809,豪能股份,核心,2019-05-16,2019-05-17,-0.3,连续500交易日无分红
600516,方大炭素,卫星,2019-05-17,2019-05-20,-5.26,连续500交易日无分红
603809,豪能股份,核心,2019-05-20,2019-05-21,1.25,连续500交易日无分红
600516,方大炭素,卫星,2019-05-21,2019-05-22,1.31,连续500交易日无分红
603809,豪能股份,核心,2019-05-22,2019-05-23,-1.51,连续500交易日无分红
603809,豪能股份,卫星,2019-05-24,2019-05-27,0.34,连续500交易日无分红
600507,方大特钢,核心,2019-05-09,2020-05-11,-25.27,息率跌破3.0%
002110,三钢闽光,核心,2019-05-23,2020-05-25,-31.31,息率跌破3.0%
002884,凌霄泵业,核心,2019-05-27,2020-05-26,23.93,息率跌破3.0%
603809,豪能股份,核心,2019-05-28,2020-05-28,4.45,息率跌破3.0%
600738,丽尚国潮,核心,2019-03-14,2020-12-10,9.04,息率跌破3.0%
600603,广汇物流,核心,2020-05-26,2021-04-23,3.99,息率跌破3.0%
600295,鄂尔多斯,核心,2020-05-27,2021-05-27,167.41,息率跌破3.0%
