信号日,名称,买入价,股数,买入金额,卖出日,卖出时点,卖出价,卖出原因,单笔盈亏%,净盈亏元
2025-01-23,光电股份,10.79822791,3000,32395,2025-01-24,尾盘14:50,10.71,没涨停→尾盘兑现,-0.83,-318
2025-01-24,启明星辰,15.26,2100,32046,2025-01-27,尾盘14:50,14.98,没涨停→尾盘兑现,-1.83,-636
2025-02-06,亚太股份,8.85281626,3700,32755,2025-02-07,尾盘14:50,9.06,没涨停→尾盘兑现,2.34,716
2025-02-06,雷科防务,4.58,4800,21984,2025-02-07,尾盘14:50,4.75,没涨停→尾盘兑现,3.71,782
2025-02-11,上海汽配,17.50317778,1900,33256,2025-02-12,尾盘14:50,17.0,没涨停→尾盘兑现,-2.85,-996
2025-02-13,儒意电影,13.65,2400,32760,2025-02-14,尾盘14:50,13.27,没涨停→尾盘兑现,-2.78,-960
2025-02-14,南天信息,19.96941099,1600,31951,2025-02-17,尾盘14:50,21.92,没涨停→尾盘兑现,9.75,3064
2025-02-18,高争民爆,27.00719018,1200,32409,2025-02-19,尾盘14:50,26.94,没涨停→尾盘兑现,-0.26,-132
2025-02-27,金固股份,12.73659816,2600,33115,2025-02-28,尾盘14:50,13.17,没涨停→尾盘兑现,3.37,1065
2025-03-03,太极集团,22.22,1500,33330,2025-03-04,尾盘14:50,21.85,没涨停→尾盘兑现,-1.67,-605
2025-03-05,航天动力,11.44,2900,33176,2025-03-06,尾盘14:50,11.68,没涨停→尾盘兑现,2.1,646
2025-03-20,保变电气,8.55,4000,34200,2025-03-21,尾盘14:50,8.2,没涨停→尾盘兑现,-4.09,-1450
2025-03-21,直真科技,38.78157468,800,31025,2025-03-24,尾盘14:50,37.34,没涨停→尾盘兑现,-3.73,-1202
2025-04-01,明星电力,11.731716,2800,32849,2025-04-02,尾盘14:50,11.51,没涨停→尾盘兑现,-1.92,-678
2025-04-03,浙江新能,8.4154505,3900,32820,2025-04-07,尾盘14:50,8.84,没涨停→尾盘兑现,5.06,1610
2025-04-07,国投丰乐,8.00206674,4200,33609,2025-04-09,次日早盘9:30,9.22,又涨停→隔夜次早兑现,15.24,5068
2025-04-07,敦煌种业,6.35,3500,22225,2025-04-09,次日早盘9:30,7.15,又涨停→隔夜次早兑现,12.6,2765
2025-04-09,北部湾港,9.08944448,4000,36358,2025-04-10,尾盘14:50,9.33,没涨停→尾盘兑现,2.69,924
2025-04-09,华东重机,5.53,4300,23779,2025-04-10,尾盘14:50,5.72,没涨停→尾盘兑现,3.44,781
2025-04-18,金融街,3.04,12100,36784,2025-04-21,尾盘14:50,2.96,没涨停→尾盘兑现,-2.63,-1022
2025-04-18,我爱我家,3.576,6900,24674,2025-04-21,尾盘14:50,3.56,没涨停→尾盘兑现,-0.56,-175
2025-04-28,闽东电力,11.73911835,3100,36391,2025-04-29,尾盘14:50,10.69,没涨停→尾盘兑现,-8.95,-3311
2025-05-09,甘化科工,8.67,4000,34680,2025-05-12,尾盘14:50,8.9,没涨停→尾盘兑现,2.65,867
2025-05-14,锦龙股份,13.79,2500,34475,2025-05-15,尾盘14:50,13.36,没涨停→尾盘兑现,-3.12,-1126
2025-05-21,露笑科技,8.23,4300,35389,2025-05-22,尾盘14:50,8.02,没涨停→尾盘兑现,-2.55,-955
2025-05-26,中核科技,19.593,1700,33308,2025-05-27,尾盘14:50,20.12,没涨停→尾盘兑现,2.71,850
2025-06-04,哈尔斯,8.01,4400,35244,2025-06-05,尾盘14:50,7.7,没涨停→尾盘兑现,-3.87,-1416
2025-06-13,乐通股份,11.51,3000,34530,2025-06-16,尾盘14:50,11.44,没涨停→尾盘兑现,-0.61,-262
2025-06-16,古汉医药,10.19,3400,34646,2025-06-17,次日早盘9:30,10.22,又涨停→隔夜次早兑现,0.29,50
2025-06-16,通化金马,27.61,800,22088,2025-06-17,尾盘14:50,26.32,没涨停→尾盘兑现,-4.67,-1064
2025-06-24,光迅科技,47.19,700,33033,2025-06-25,尾盘14:50,47.71,没涨停→尾盘兑现,1.1,314
2025-07-03,汇绿生态,10.827,3100,33564,2025-07-04,尾盘14:50,10.8,没涨停→尾盘兑现,-0.28,-143
2025-07-22,柳工,11.644,2900,33768,2025-07-23,尾盘14:50,11.34,没涨停→尾盘兑现,-2.58,-920
2025-07-23,湖南海利,7.84,4300,33712,2025-07-24,尾盘14:50,8.22,没涨停→尾盘兑现,4.85,1582
2025-07-25,泰嘉股份,22.61,1500,33915,2025-07-28,尾盘14:50,22.64,没涨停→尾盘兑现,0.13,-6
2025-07-28,山推股份,10.896,3100,33778,2025-07-29,尾盘14:50,10.58,没涨停→尾盘兑现,-2.94,-1042
2025-07-30,德展健康,4.41,7800,34398,2025-08-01,次日早盘9:30,4.83,又涨停→隔夜次早兑现,9.52,3222
2025-08-04,天奇股份,17.369482,2000,34739,2025-08-05,尾盘14:50,17.23,没涨停→尾盘兑现,-0.8,-331
2025-08-04,山东威达,13.45795275,1700,22879,2025-08-05,尾盘14:50,13.35,没涨停→尾盘兑现,-0.81,-220
2025-08-05,众泰汽车,2.23,15800,35234,2025-08-06,尾盘14:50,2.28,没涨停→尾盘兑现,2.24,737
2025-08-19,中南文化,2.64,13500,35640,2025-08-20,尾盘14:50,2.61,没涨停→尾盘兑现,-1.14,-458
2025-08-21,钛能化学,4.861,7300,35485,2025-08-22,尾盘14:50,4.8,没涨停→尾盘兑现,-1.23,-491
2025-08-26,武汉凡谷,16.29,2100,34209,2025-08-27,尾盘14:50,15.77,没涨停→尾盘兑现,-3.19,-1142
2025-08-28,大港股份,16.18,2100,33978,2025-08-29,尾盘14:50,15.95,没涨停→尾盘兑现,-1.42,-534
2025-08-29,永臻股份,25.3,1300,32890,2025-09-01,尾盘14:50,24.59,没涨停→尾盘兑现,-2.81,-972
2025-09-01,顺络电子,35.048,900,31543,2025-09-02,尾盘14:50,32.81,没涨停→尾盘兑现,-6.39,-2062
2025-09-02,秦川机床,13.9146507,2400,33395,2025-09-03,尾盘14:50,14.1,没涨停→尾盘兑现,1.36,404
2025-09-04,百大集团,10.64,3100,32984,2025-09-05,尾盘14:50,10.39,没涨停→尾盘兑现,-2.35,-824
2025-09-05,德明利,95.46946036,300,28641,2025-09-08,尾盘14:50,95.62,没涨停→尾盘兑现,0.16,2
2025-09-09,创维数字,13.97666688,2400,33544,2025-09-10,尾盘14:50,13.4,没涨停→尾盘兑现,-4.12,-1431
2025-09-18,烽火通信,28.82925784,1100,31712,2025-09-19,尾盘14:50,29.83,没涨停→尾盘兑现,3.46,1050
2025-09-22,华塑控股,3.48,9600,33408,2025-09-23,尾盘14:50,3.39,没涨停→尾盘兑现,-2.59,-913
2025-09-22,精工科技,22.2217226,1000,22222,2025-09-23,尾盘14:50,21.82,没涨停→尾盘兑现,-1.82,-438
2025-09-24,TCL中环,8.55,3800,32490,2025-09-26,次日早盘9:30,9.26,又涨停→隔夜次早兑现,8.3,2647
2025-09-25,奔图科技,25.26,800,20208,2025-09-26,尾盘14:50,24.27,没涨停→尾盘兑现,-3.92,-822
2025-10-09,招金黄金,11.95,2800,33460,2025-10-10,尾盘14:50,12.82,没涨停→尾盘兑现,7.28,2384
2025-10-10,金固股份,12.2261688,2800,34233,2025-10-13,尾盘14:50,11.22,没涨停→尾盘兑现,-8.25,-2874
2025-10-15,中通客车,12.611,2600,32789,2025-10-16,尾盘14:50,12.43,没涨停→尾盘兑现,-1.43,-517
2025-10-20,石化机械,7.02,4700,32994,2025-10-22,次日早盘9:30,8.49,又涨停→隔夜次早兑现,20.94,6854
2025-10-22,沈阳机床,7.83,4500,35235,2025-10-23,尾盘14:50,7.79,没涨停→尾盘兑现,-0.51,-233
2025-10-27,大连友谊,9.4,3700,34780,2025-10-28,尾盘14:50,9.75,没涨停→尾盘兑现,3.72,1242
2025-10-31,浙江众成,5.11,7000,35770,2025-11-03,尾盘14:50,5.27,没涨停→尾盘兑现,3.13,1066
2025-10-31,海思科,55.9186485,400,22367,2025-11-03,尾盘14:50,55.02,没涨停→尾盘兑现,-1.61,-393
2025-11-07,安纳达,14.21,2500,35525,2025-11-11,次日早盘9:30,15.13,又涨停→隔夜次早兑现,6.47,2245
2025-11-11,顺发恒能,3.575,10300,36822,2025-11-13,次日早盘9:30,3.94,又涨停→隔夜次早兑现,10.07,3650
2025-11-17,华联控股,5.28,7200,38016,2025-11-18,尾盘14:50,5.1,没涨停→尾盘兑现,-3.41,-1352
2025-11-18,中央商场,3.92,9600,37632,2025-11-20,次日早盘9:30,4.74,又涨停→隔夜次早兑现,20.92,7810
2025-12-03,国机重装,3.83,10500,40215,2025-12-05,次日早盘9:30,4.35,又涨停→隔夜次早兑现,13.58,5396
2025-12-03,骏亚科技,13.76,1900,26144,2025-12-05,次日早盘9:30,16.65,又涨停→隔夜次早兑现,21.0,5448
2025-12-10,光电股份,21.11697854,2000,42234,2025-12-11,尾盘14:50,21.47,没涨停→尾盘兑现,1.66,635
2025-12-12,四川九洲,17.8179771,2400,42763,2025-12-15,尾盘14:50,17.05,没涨停→尾盘兑现,-4.31,-1907
2025-12-17,航天晨光,27.04,1600,43264,2025-12-18,尾盘14:50,26.1,没涨停→尾盘兑现,-3.48,-1568
2025-12-26,苏州高新,6.59061287,6500,42839,2025-12-30,次日早盘9:30,7.18,又涨停→隔夜次早兑现,8.93,3757
