日期,持仓,持仓市值,现金,总资产,累计盈亏%
2026-01-05,空仓,0,100000,100000,0.0
2026-01-06,空仓,0,100000,100000,0.0
2026-01-07,展鹏科技 3800股 本8.70 现8.70 浮+0.0%,33060,66940,100000,0.0
2026-01-08,展鹏科技 3800股 本8.70 现9.57 浮+10.0%,36366,66940,103306,3.31
2026-01-09,空仓,0,106886,106886,6.89
2026-01-12,天娱数科 4400股 本8.08 现8.08 浮+0.0%,35552,71334,106886,6.89
2026-01-13,东南网架 6200股 本5.62 现5.62 浮+0.0%,34858,70507,105364,5.36
2026-01-14,空仓,0,103977,103977,3.98
2026-01-15,空仓,0,103977,103977,3.98
2026-01-16,空仓,0,103977,103977,3.98
2026-01-19,许继电气 1000股 本32.18 现32.18 浮+0.0%,32179,71798,103977,3.98
2026-01-20,空仓,0,104443,104443,4.44
2026-01-21,空仓,0,104443,104443,4.44
2026-01-22,空仓,0,104443,104443,4.44
2026-01-23,空仓,0,104443,104443,4.44
2026-01-26,空仓,0,104443,104443,4.44
2026-01-27,空仓,0,104443,104443,4.44
2026-01-28,中金岭南 4000股 本8.53 现8.53 浮+0.0%,34100,70343,104443,4.44
2026-01-29,空仓,0,104297,104297,4.3
2026-01-30,实益达 3400股 本10.08 现10.08 浮+0.0% | 敦煌种业 2900股 本7.92 现7.92 浮+0.0%,57249,47048,104297,4.3
2026-02-02,空仓,0,101502,101502,1.5
2026-02-03,银轮股份 800股 本39.16 现39.16 浮+0.0%,31330,70173,101502,1.5
2026-02-04,银轮股份 800股 本39.16 现43.09 浮+10.0%,34474,70173,104646,4.65
2026-02-05,空仓,0,104932,104932,4.93
2026-02-06,空仓,0,104932,104932,4.93
2026-02-09,红太阳 5200股 本6.72 现6.72 浮+0.0%,34944,69988,104932,4.93
2026-02-10,儒意电影 2400股 本13.87 现13.87 浮+0.0%,33288,70007,103295,3.3
2026-02-11,卓郎智能 11100股 本2.98 现2.98 浮+0.0%,33078,66859,99937,-0.06
2026-02-12,卓郎智能 11100股 本2.98 现3.28 浮+10.1%,36408,66859,103267,3.27
2026-02-13,空仓,0,102685,102685,2.69
2026-02-24,空仓,0,102685,102685,2.69
2026-02-25,空仓,0,102685,102685,2.69
2026-02-26,空仓,0,102685,102685,2.69
2026-02-27,空仓,0,102685,102685,2.69
2026-03-02,空仓,0,102685,102685,2.69
2026-03-03,空仓,0,102685,102685,2.69
2026-03-04,空仓,0,102685,102685,2.69
2026-03-05,空仓,0,102685,102685,2.69
2026-03-06,空仓,0,102685,102685,2.69
2026-03-09,空仓,0,102685,102685,2.69
2026-03-10,空仓,0,102685,102685,2.69
2026-03-11,空仓,0,102685,102685,2.69
2026-03-12,空仓,0,102685,102685,2.69
2026-03-13,空仓,0,102685,102685,2.69
2026-03-16,空仓,0,102685,102685,2.69
2026-03-17,空仓,0,102685,102685,2.69
2026-03-18,空仓,0,102685,102685,2.69
2026-03-19,空仓,0,102685,102685,2.69
2026-03-20,空仓,0,102685,102685,2.69
2026-03-23,浙江新能 3100股 本10.72 现10.72 浮+0.0%,33244,69441,102685,2.69
2026-03-24,浙江新能 3100股 本10.72 现11.80 浮+10.0% | 福晶科技 300股 本64.71 现64.71 浮+0.0%,55992,50030,106022,6.02
2026-03-25,空仓,0,106160,106160,6.16
2026-03-26,新宝股份 2400股 本14.40 现14.40 浮+0.0%,34557,71602,106160,6.16
2026-03-27,空仓,0,106391,106391,6.39
2026-03-30,空仓,0,106391,106391,6.39
2026-03-31,空仓,0,106391,106391,6.39
2026-04-01,空仓,0,106391,106391,6.39
2026-04-02,空仓,0,106391,106391,6.39
2026-04-03,空仓,0,106391,106391,6.39
2026-04-07,空仓,0,106391,106391,6.39
2026-04-08,空仓,0,106391,106391,6.39
2026-04-09,空仓,0,106391,106391,6.39
2026-04-10,隆基机械 4100股 本8.57 现8.57 浮+0.0%,35140,71251,106391,6.39
2026-04-13,空仓,0,105392,105392,5.39
2026-04-14,南山控股 12800股 本2.74 现2.74 浮+0.0%,35072,70320,105392,5.39
2026-04-15,空仓,0,104727,104727,4.73
2026-04-16,空仓,0,104727,104727,4.73
2026-04-17,空仓,0,104727,104727,4.73
2026-04-20,九阳股份 3100股 本11.10 现11.10 浮+0.0%,34410,70317,104727,4.73
2026-04-21,空仓,0,102966,102966,2.97
2026-04-22,中新集团 3400股 本10.05 现10.05 浮+0.0%,34165,68802,102966,2.97
2026-04-23,中新集团 3400股 本10.05 现11.05 浮+10.0%,37574,68802,106376,6.38
2026-04-24,空仓,0,104528,104528,4.53
2026-04-27,空仓,0,104528,104528,4.53
2026-04-28,空仓,0,104528,104528,4.53
2026-04-29,空仓,0,104528,104528,4.53
2026-04-30,空仓,0,104528,104528,4.53
2026-05-06,空仓,0,104528,104528,4.53
2026-05-07,空仓,0,104528,104528,4.53
2026-05-08,空仓,0,104528,104528,4.53
2026-05-11,空仓,0,104528,104528,4.53
2026-05-12,空仓,0,104528,104528,4.53
2026-05-13,空仓,0,104528,104528,4.53
2026-05-14,空仓,0,104528,104528,4.53
2026-05-15,方正电机 2200股 本15.36 现15.36 浮+0.0%,33792,70736,104528,4.53
2026-05-18,泰永长征 1600股 本21.56 现21.56 浮+0.0%,34496,71766,106262,6.26
2026-05-19,空仓,0,108059,108059,8.06
2026-05-20,空仓,0,108059,108059,8.06
2026-05-21,派林生物 3100股 本11.55 现11.55 浮+0.0%,35805,72254,108059,8.06
2026-05-22,空仓,0,107846,107846,7.85
2026-05-25,空仓,0,107846,107846,7.85
2026-05-26,空仓,0,107846,107846,7.85
2026-05-27,空仓,0,107846,107846,7.85
2026-05-28,空仓,0,107846,107846,7.85
2026-05-29,空仓,0,107846,107846,7.85
2026-06-01,空仓,0,107846,107846,7.85
2026-06-02,空仓,0,107846,107846,7.85
2026-06-03,空仓,0,107846,107846,7.85
2026-06-04,振华科技 600股 本58.91 现58.91 浮+0.0% | 朝阳科技 800股 本28.95 现28.95 浮+0.0%,58504,49342,107846,7.85
2026-06-05,空仓,0,105105,105105,5.11
2026-06-08,空仓,0,105105,105105,5.11
2026-06-09,宁波华翔 1100股 本29.25 现29.25 浮+0.0%,32175,72930,105105,5.11
2026-06-10,空仓,0,104301,104301,4.3
2026-06-11,空仓,0,104301,104301,4.3
2026-06-12,空仓,0,104301,104301,4.3
2026-06-15,中鼎股份 1500股 本22.35 现22.35 浮+0.0%,33525,70776,104301,4.3
2026-06-16,空仓,0,104275,104275,4.28
2026-06-17,远望谷 5500股 本6.25 现6.25 浮+0.0%,34358,69917,104275,4.28
2026-06-18,天目药业 1900股 本17.96 现17.96 浮+0.0%,34124,69191,103315,3.32
2026-06-22,东方电子 2400股 本14.10 现14.10 浮+0.0% | 利尔化学 1600股 本14.23 现14.23 浮+0.0%,56608,47403,104011,4.01
2026-06-23,空仓,0,102786,102786,2.79
2026-06-24,空仓,0,102786,102786,2.79
2026-06-25,尖峰集团 4500股 本7.57 现7.57 浮+0.0%,34078,68708,102786,2.79
2026-06-26,空仓,0,101297,101297,1.3
2026-06-29,空仓,0,101297,101297,1.3
