共出手 29 笔（2025-01-01 → 2026-09-18）

2025-01-27信号 2025-02-05买 2025-02-12卖 | 600468 百利电气    跌停底座     4.23→   4.40 |   +3.7%   +185元 [T+5]
2025-03-31信号 2025-04-01买 2025-04-07卖 | 002865 钧达股份    跌停底座    49.77→  40.28 |  -19.4%   -968元 [止损]
2025-03-31信号 2025-04-01买 2025-04-09卖 | 600765 中航重机    跌停底座    15.87→  15.76 |   -1.0%    -49元 [T+5]
2025-03-31信号 2025-04-01买 2025-04-09卖 | 600355         TD9输家    2.81→   3.18 |  +12.9%   +643元 [T+5]
2025-09-04信号 2025-09-05买 2025-09-12卖 | 600967 内蒙一机    跌停底座    18.82→  19.62 |   +4.0%   +198元 [T+5]
2026-03-23信号 2026-03-24买 2026-03-31卖 | 603538 美诺华     复活门     19.71→  29.10 |  +47.4%  +2368元 [T+5]
2026-03-23信号 2026-03-24买 2026-03-31卖 | 603580 艾艾精工    复活门     16.39→  17.49 |   +6.5%   +323元 [T+5]
2026-03-23信号 2026-03-24买 2026-03-31卖 | 605299 舒华体育    复活门     14.78→  21.13 |  +42.7%  +2133元 [T+5]
2026-04-27信号 2026-04-28买 2026-05-08卖 | 600864 哈投股份    跌停底座     6.16→   6.06 |   -1.9%    -95元 [T+5]
2026-04-27信号 2026-04-28买 2026-05-08卖 | 002324 普利特     跌停底座    14.59→  15.65 |   +7.0%   +350元 [T+5]
2026-04-27信号 2026-04-28买 2026-05-08卖 | 001331 胜通能源    TD9超跌   28.81→  34.44 |  +19.2%   +962元 [T+5]
2026-05-21信号 2026-05-22买 2026-05-29卖 | 000973 佛塑科技    TD9超跌   15.26→  14.75 |   -3.6%   -182元 [T+5]
2026-05-21信号 2026-05-22买 2026-05-29卖 | 002637 赞宇科技    跌停底座    10.10→  10.73 |   +6.0%   +298元 [T+5]
2026-05-21信号 2026-05-22买 2026-05-29卖 | 002809 红墙股份    跌停底座     9.36→   8.75 |   -6.8%   -342元 [T+5]
2026-06-11信号 2026-06-12买 2026-06-22卖 | 603070 万控智造    跌停底座    14.38→  14.71 |   +2.0%   +100元 [T+5]
2026-06-11信号 2026-06-12买 2026-06-22卖 | 603861 白云电器    跌停底座    14.02→  15.26 |   +8.5%   +424元 [T+5]
2026-06-11信号 2026-06-12买 2026-06-22卖 | 600592 龙溪股份    跌停底座    16.55→  14.49 |  -12.8%   -638元 [T+5]
2026-06-29信号 2026-06-30买 2026-07-07卖 | 605058 澳弘电子    跌停底座    33.51→  29.99 |  -10.8%   -540元 [T+5]
2026-06-29信号 2026-06-30买 2026-07-07卖 | 001268 联合精密    跌停底座    25.38→  28.47 |  +11.9%   +594元 [T+5]
2026-06-29信号 2026-06-30买 2026-07-07卖 | 603327 福蓉科技    跌停底座     8.55→   8.60 |   +0.3%    +14元 [T+5]
2026-07-07信号 2026-07-08买 2026-07-15卖 | 002774 快意电梯    复活门     14.13→  16.37 |  +15.6%   +778元 [T+5]
2026-07-07信号 2026-07-08买 2026-07-15卖 | 000301 东方盛虹    复活门     12.44→  11.61 |   -7.0%   -349元 [T+5]
2026-07-07信号 2026-07-08买 2026-07-15卖 | 002860 星帅尔     复活门     16.46→  16.53 |   +0.1%     +6元 [T+5]
2026-07-08信号 2026-07-09买 2026-07-13卖 | 600793 宜宾纸业    复活门     17.50→  14.80 |  -15.7%   -786元 [止损]
2026-07-08信号 2026-07-09买 2026-07-16卖 | 002747 埃斯顿     复活门     39.69→  42.43 |   +6.6%   +330元 [T+5]
2026-07-08信号 2026-07-09买 2026-07-16卖 | 603823 百合花     复活门     68.82→  69.66 |   +0.9%    +46元 [T+5]
2026-07-20信号 2026-07-21买 2026-07-28卖 | 000779 甘咨询     复活门      9.91→  11.67 |  +17.5%   +873元 [T+5]
2026-07-20信号 2026-07-21买 2026-07-28卖 | 603580 艾艾精工    复活门     36.34→  52.62 |  +44.5%  +2226元 [T+5]
2026-07-20信号 2026-07-21买 2026-07-28卖 | 001395 亚联机械    复活门     28.83→  27.94 |   -3.4%   -169元 [T+5]

胜 19 / 负 10 = 胜率 66%
总盈亏 +8,732 元（5万 → +17.5%）
区间 417 个交易日，有仓位 51 天（12%），其余时间空仓
